Algorithm,Case_Range,Average_JCT_Seconds,Average_Queue_Delay_Seconds,Average_DDL_Violation_Duration_Seconds,Total_DDL_Violation_Duration_Seconds,DDL_Violated_Jobs_Count,Finished_Jobs_Count,Do_Schedule_Count,Average_Do_Schedule_Duration_ms,Max_Do_Schedule_Duration_ms
Chronus,0-10,7494.0,0.0,0.0,0.0,0,10,11,0,0
Chronus,0-20,7882.25,0.0,674.0,674.0,1,20,21,0,0
Chronus,0-30,8582.333333333336,0.0,253.0,253.0,1,30,31,0,0
Chronus,0-40,13755.225,0.0,3105.333333333314,9315.999999999942,3,40,41,0,0
Chronus,0-50,11719.52,90.42,4562.499999999985,9124.99999999997,2,50,51,0,0
Chronus,0-60,13535.366666666667,424.71666666666664,4562.500000000029,9125.000000000058,2,60,60,0,0
Chronus,0-70,13977.742857142854,809.1571428571428,4562.499999999985,9124.99999999997,2,70,70,0,1
Chronus,0-80,14863.062499999995,1248.7,253.0,253.0,1,80,81,0,0
Chronus,0-90,14566.688888888886,1504.6444444444444,253.0,253.0,1,90,90,0,0
Chronus,0-100,14798.859999999997,1778.14,13074.499999999949,52297.999999999796,4,100,101,0,0
Chronus,0-110,17077.509090909094,2560.2454545454543,23524.00000000006,70572.00000000017,3,110,110,0,0
Chronus,0-120,16945.708333333332,2711.525,14287.600000000035,71438.00000000017,5,120,121,0,0
Chronus,0-130,16409.723076923077,3052.892307692308,17691.000000000007,70764.00000000003,4,130,131,0,1
Chronus,0-140,16873.15,3597.7785714285715,17691.000000000022,70764.00000000009,4,140,141,0,0
Chronus,0-150,17832.52666666667,4265.7733333333335,12641.666666666672,75850.00000000003,6,150,151,0,0
Chronus,0-160,16549.499999999996,4670.9375,14572.39999999997,72861.99999999985,5,160,161,0,0
Chronus,0-170,19209.082352941175,5272.605882352941,8215.000000000015,73935.00000000013,9,170,171,0,0
Chronus,0-180,19834.977777777778,6049.011111111111,3016.8999999999796,30168.999999999796,10,180,181,0,0
Chronus,0-190,21416.663157894734,6899.426315789474,2227.499999999943,22274.999999999432,10,190,190,0,0
Chronus,0-200,21751.51,7410.455,1893.3999999999942,18933.99999999994,10,200,201,0,0
Chronus,0-210,22237.58571428571,8127.933333333333,2589.1818181818035,28480.99999999984,11,210,211,0,0
Chronus,0-220,23960.318181818177,9383.986363636364,3075.545454545444,33830.99999999988,11,220,220,0,0
Chronus,0-230,26200.87826086956,9989.104347826087,1890.2499999999498,22682.999999999396,12,230,231,0,0
Chronus,0-240,27234.258333333335,10403.875,2746.454545454541,30210.99999999995,11,240,240,0,0
Chronus,0-250,28163.683999999997,11154.132,3501.7272727272543,38518.999999999796,11,250,250,0,0
Chronus,0-260,27414.48846153846,11583.303846153845,6039.416666666639,72472.99999999967,12,260,261,0,0
Chronus,0-270,28555.37777777778,12495.203703703704,1700.0833333333278,20400.999999999935,12,270,270,0,0
Chronus,0-280,29902.85714285714,12920.182142857142,2489.3999999999455,24893.999999999454,10,280,281,0,0
Chronus,0-290,29317.006896551724,13406.527586206896,6135.235294117627,104298.99999999965,17,290,291,0,0
Chronus,0-300,30695.046666666665,13691.383333333333,5310.642857142784,74348.99999999898,14,300,301,0,0
Chronus,0-310,30817.874193548392,14692.383870967742,2435.230769230719,31657.99999999935,13,310,310,0,0
Chronus,0-320,31047.90625,15314.38125,7997.99999999997,103973.9999999996,13,320,321,0,1
Chronus,0-330,32651.40303030303,16086.915151515152,5699.1538461537675,74088.99999999898,13,330,329,0,0
Chronus,0-340,32310.09117647059,16692.491176470587,4927.68749999997,78842.99999999952,16,340,341,0,0
Chronus,0-350,33583.1,17631.837142857144,3869.0,65773.0,17,350,350,0,0
Chronus,0-360,35010.19444444444,18687.175,1936.1052631578925,36785.999999999956,19,360,360,0,1
Chronus,0-370,36537.208108108105,20396.116216216215,2859.105263157893,54322.99999999997,19,370,371,0,0
Chronus,0-380,37117.96315789474,21303.897368421054,1299.0499999999954,25980.99999999991,20,380,380,0,0
Chronus,0-390,37264.546153846146,22283.561538461538,2850.913043478224,65570.99999999916,23,390,390,0,0
Chronus,0-400,37859.0125,23211.97,1827.4782608695627,42031.99999999994,23,400,398,0,0
Gavel,0-10,7169.6,0.0,0.0,0.0,0,10,11,0,0
Gavel,0-20,7849.35,0.0,0.0,0.0,0,20,21,0,0
Gavel,0-30,8722.533333333333,0.0,252.99999999999955,252.99999999999955,1,30,31,0,0
Gavel,0-40,15048.15,0.0,17866.333333333314,53598.99999999994,3,40,40,0,0
Gavel,0-50,10227.579999999998,81.6,2332.499999999999,4664.999999999998,2,50,50,0,0
Gavel,0-60,11999.1,366.56666666666666,3865.3333333333226,11595.999999999967,3,60,60,0,0
Gavel,0-70,12989.671428571426,700.9142857142857,4874.666666666667,14624.0,3,70,69,0,0
Gavel,0-80,12165.625,1145.225,14248.499999999984,56993.999999999935,4,80,79,0,0
Gavel,0-90,16096.544444444442,1465.5444444444445,14393.749999999998,57574.99999999999,4,90,89,0,0
Gavel,0-100,19403.169999999995,1765.62,8666.428571428552,60664.99999999987,7,100,100,0,0
Gavel,0-110,16723.445454545454,2114.927272727273,3433.9999999999986,20603.999999999993,6,110,111,0,0
Gavel,0-120,14015.375,2333.241666666667,1444.8749999999984,11558.999999999987,8,120,121,0,0
Gavel,0-130,15231.707692307691,2750.1384615384613,10399.285714285706,72794.99999999994,7,130,131,0,0
Gavel,0-140,16614.485714285714,3388.5785714285716,9391.14285714285,65737.99999999994,7,140,140,0,0
Gavel,0-150,17443.24,3832.4666666666667,7494.199999999992,74941.99999999991,10,150,151,0,0
Gavel,0-160,17578.775,4237.75,9268.428571428574,129758.00000000004,14,160,161,0,0
Gavel,0-170,19263.9,4678.964705882353,3678.8461538461515,47824.99999999997,13,170,171,0,0
Gavel,0-180,17179.005555555555,5029.455555555555,4459.999999999997,53519.99999999997,12,180,181,0,0
Gavel,0-190,18941.157894736843,5632.147368421052,10535.333333333341,158030.00000000012,15,190,191,0,1
Gavel,0-200,20238.595,5992.45,7170.666666666661,129071.99999999988,18,200,200,0,0
Gavel,0-210,22449.309523809523,6651.6809523809525,6542.631578947371,124310.00000000004,19,210,210,0,0
Gavel,0-220,23138.20909090909,7274.35,6745.399999999999,134907.99999999997,20,220,221,0,1
Gavel,0-230,24960.430434782607,7778.047826086957,9578.68,239467.0,25,230,231,0,1
Gavel,0-240,23456.604166666668,8235.425,5537.307692307696,143970.0000000001,26,240,241,0,1
Gavel,0-250,25479.568,8713.464,6621.192307692304,172150.9999999999,26,250,249,0,0
Gavel,0-260,25587.06923076923,9222.042307692307,7860.4999999999945,220093.99999999985,28,260,258,0,0
Gavel,0-270,26393.57037037037,9578.2,8173.709677419353,253384.99999999994,31,270,270,0,0
Gavel,0-280,26721.27142857143,10046.157142857142,9409.896551724138,272887.0,29,280,280,0,0
Gavel,0-290,27180.93448275862,10429.655172413793,8664.914285714287,303272.00000000006,35,290,290,0,0
Gavel,0-300,27708.83,10661.073333333334,8765.14285714286,368136.0000000001,42,300,299,0,0
Gavel,0-310,26033.8064516129,11184.109677419356,4911.3488372093025,211188.0,43,310,309,0,0
Gavel,0-320,27204.5375,11736.76875,5021.787234042553,236024.0,47,320,320,0,0
Gavel,0-330,28083.32424242424,12223.918181818182,7656.5961538461515,398142.9999999999,52,330,329,0,0
Gavel,0-340,29447.670588235294,12759.420588235294,8269.874999999996,463112.99999999977,56,340,341,0,0
Gavel,0-350,29677.525714285715,13272.105714285713,8247.360655737702,503088.9999999998,61,350,350,0,0
Gavel,0-360,29809.63611111111,13628.008333333333,8108.107692307693,527027.0,65,360,360,0,1
Gavel,0-370,29496.624324324323,14333.586486486487,8685.647887323941,616680.9999999998,71,370,370,0,1
Gavel,0-380,30153.144736842107,14780.421052631578,7846.458333333333,564945.0,72,380,381,0,0
Gavel,0-390,30935.76923076923,15507.030769230769,8562.924050632913,676471.0000000001,79,390,390,0,0
Gavel,0-400,31385.72,15984.0775,10368.283950617282,839830.9999999999,81,400,400,0,0
Allox,0-10,7169.6,0.0,0.0,0.0,0,10,1,10,10
Allox,0-20,5583.449999999999,0.0,0.0,0.0,0,20,1,66,66
Allox,0-30,5115.333333333332,192.36666666666667,253.0,253.0,1,30,1,189,189
Allox,0-40,7778.774999999999,429.625,252.99999999999955,252.99999999999955,1,40,1,454,454
Allox,0-50,8909.74,402.86,328.6666666666665,985.9999999999995,3,50,1,977,977
Allox,0-60,8785.85,595.5166666666667,167.66666666666652,502.99999999999955,3,60,1,1760,1760
Allox,0-70,9531.114285714286,923.5142857142857,167.66666666666666,503.0,3,70,1,2931,2931
Allox,0-80,9804.7375,1251.7,458.999999999998,1376.999999999994,3,80,1,4563,4563
Allox,0-90,10663.6,1660.9666666666667,594.6666666666644,1783.9999999999932,3,90,1,7378,7378
Allox,0-100,11668.46,1961.63,1557.7999999999993,7788.999999999996,5,100,1,10486,10486
Allox,0-110,13016.309090909092,2427.172727272727,1174.1999999999998,5870.999999999999,5,110,1,13947,13947
Allox,0-120,12833.208333333334,2719.975,1045.3333333333337,6272.000000000002,6,120,1,22682,22682
Allox,0-130,12844.746153846154,3039.246153846154,1888.7999999999993,9443.999999999996,5,130,1,42198,42198
Allox,0-140,13171.164285714285,3454.5857142857144,1785.7500000000005,7143.000000000002,4,140,1,53954,53954
Allox,0-150,13299.98,3881.9066666666668,2481.1666666666647,14886.999999999989,6,150,1,69511,69511
Allox,0-160,13646.03125,4371.53125,3349.374999999998,26794.999999999985,8,160,1,87956,87956
Allox,0-170,15035.517647058823,4914.141176470588,2876.1111111111095,25884.999999999985,9,170,1,106667,106667
Allox,0-180,15780.894444444444,5367.783333333334,2938.7500000000014,35265.000000000015,12,180,1,127329,127329
Allox,0-190,16112.926315789473,5790.7052631578945,3024.187500000001,48387.000000000015,16,190,1,155075,155075
Allox,0-200,16234.715,6030.41,3323.7857142857133,46532.999999999985,14,200,1,184100,184100
Allox,0-210,17892.280952380952,6560.295238095238,3082.166666666667,55479.00000000001,18,210,1,219369,219369
Allox,0-220,18959.831818181818,7439.513636363637,3929.315789473683,74656.99999999997,19,220,1,259459,259459
Allox,0-230,20555.9,7998.926086956521,4432.421052631576,84215.99999999994,19,230,1,297429,297429
Allox,0-240,21334.129166666666,8556.283333333333,4482.9,89658.0,20,240,1,339281,339281
Allox,0-250,21827.612,9074.288,4392.285714285715,92238.00000000001,21,250,1,401448,401448
Allox,0-260,22024.46923076923,9463.276923076923,4491.839999999999,112295.99999999999,25,260,1,456605,456605
Allox,0-270,22227.525925925926,9843.985185185185,5868.36,146709.0,25,270,1,523766,523766
Allox,0-280,23018.042857142857,10373.957142857143,4578.774193548387,141942.0,31,280,1,612240,612240
Allox,0-290,23102.693103448277,10736.348275862068,4516.666666666668,162600.00000000006,36,290,1,732854,732854
Allox,0-300,23696.656666666666,11086.233333333334,4549.953488372093,195647.99999999997,43,300,1,824731,824731
Allox,0-310,24131.558064516128,11645.648387096775,4809.869565217391,221254.0,46,310,1,929477,929477
Allox,0-320,24766.74375,12215.8625,4702.7,235135.0,50,320,1,1045772,1045772
Allox,0-330,25323.948484848486,12639.433333333332,4581.763636363636,251996.99999999997,55,330,1,1151597,1151597
Allox,0-340,25611.394117647058,13112.641176470588,4946.210526315787,281933.9999999999,57,340,1,1278152,1278152
Allox,0-350,26235.822857142855,13635.974285714286,6028.0344827586205,349626.0,58,350,1,1427000,1427000
Allox,0-360,26449.0,14059.0,7096.616666666667,425797.0,60,360,1,1580202,1580202
Allox,0-370,27186.554054054053,14755.621621621622,7698.569230769231,500407.0,65,370,1,1772334,1772334
Allox,0-380,27721.873684210525,15259.03947368421,7905.338461538462,513847.00000000006,65,380,1,1977548,1977548
Allox,0-390,28341.94358974359,15855.758974358974,8478.835820895521,568081.9999999999,67,390,1,2394272,2394272
Allox,0-400,28687.485,16298.6775,8062.868421052632,612778.0,76,400,1,1575157,1575157
HydraBABWithHeuristic,0-10,7169.6,0.0,0.0,0.0,0,10,1,16,16
HydraBABWithHeuristic,0-20,5913.749999999999,487.45,0.0,0.0,0,20,1,34,34
HydraBABWithHeuristic,0-30,5342.666666666667,532.7666666666667,0.0,0.0,0,30,1,67,67
HydraBABWithHeuristic,0-40,7955.5,770.6,0.0,0.0,0,40,1,111,111
HydraBABWithHeuristic,0-50,9315.82,1114.3,0.0,0.0,0,50,1,173,173
HydraBABWithHeuristic,0-60,9281.683333333332,1055.8666666666666,0.0,0.0,0,60,1,262,262
HydraBABWithHeuristic,0-70,9969.885714285714,1234.1571428571428,0.0,0.0,0,70,1,336,336
HydraBABWithHeuristic,0-80,10090.25,1365.35,0.0,0.0,0,80,1,443,443
HydraBABWithHeuristic,0-90,10880.133333333333,1509.5444444444445,0.0,0.0,0,90,1,573,573
HydraBABWithHeuristic,0-100,12187.28,2613.63,0.0,0.0,0,100,1,651,651
HydraBABWithHeuristic,0-110,13745.227272727272,3054.6545454545453,0.0,0.0,0,110,1,809,809
HydraBABWithHeuristic,0-120,13501.025,3220.7,0.0,0.0,0,120,1,987,987
HydraBABWithHeuristic,0-130,13627.438461538462,3317.7153846153847,0.0,0.0,0,130,1,1122,1122
HydraBABWithHeuristic,0-140,13791.942857142858,3795.692857142857,0.0,0.0,0,140,1,1329,1329
HydraBABWithHeuristic,0-150,14061.766666666666,4270.013333333333,0.0,0.0,0,150,1,1566,1566
HydraBABWithHeuristic,0-160,14399.01875,4653.125,0.0,0.0,0,160,1,1886,1886
HydraBABWithHeuristic,0-170,15748.923529411764,5304.947058823529,0.0,0.0,0,170,1,2108,2108
HydraBABWithHeuristic,0-180,16535.433333333334,5916.916666666667,0.0,0.0,0,180,1,2507,2507
HydraBABWithHeuristic,0-190,16950.305263157894,6473.626315789474,0.0,0.0,0,190,1,2929,2929
HydraBABWithHeuristic,0-200,17110.775,6434.89,0.0,0.0,0,200,1,3350,3350
HydraBABWithHeuristic,0-210,18499.97619047619,6967.695238095238,0.0,0.0,0,210,1,4066,4066
HydraBABWithHeuristic,0-220,19570.77727272727,7729.118181818182,0.0,0.0,0,220,1,4396,4396
HydraBABWithHeuristic,0-230,21618.795652173914,8792.452173913043,345.99999999999454,345.99999999999454,1,230,1,7547,7547
HydraBABWithHeuristic,0-240,22402.3125,9276.408333333333,0.0,0.0,0,240,1,8667,8667
HydraBABWithHeuristic,0-250,23126.672,9642.84,132.99999999999545,132.99999999999545,1,250,1,10748,10748
HydraBABWithHeuristic,0-260,23059.73076923077,9883.33076923077,0.0,0.0,0,260,1,14600,14600
HydraBABWithHeuristic,0-270,23082.974074074074,10126.655555555555,282.99999999999545,282.99999999999545,1,270,1,20831,20831
HydraBABWithHeuristic,0-280,23924.72857142857,11047.085714285715,1338.9999999999927,1338.9999999999927,1,280,1,39529,39529
HydraBABWithHeuristic,0-290,24463.48275862069,11412.855172413792,0.0,0.0,0,290,1,37191,37191
HydraBABWithHeuristic,0-300,25120.536666666667,11685.0,471.49999999999727,942.9999999999945,2,300,1,66891,66891
HydraBABWithHeuristic,0-310,25807.774193548386,12350.14193548387,352.99999999999454,352.99999999999454,1,310,1,76573,76573
HydraBABWithHeuristic,0-320,26128.153125,12799.796875,1341.9999999999882,2683.9999999999764,2,320,1,100842,100842
HydraBABWithHeuristic,0-330,26806.40606060606,13433.124242424243,0.0,0.0,0,330,1,100339,100339
HydraBABWithHeuristic,0-340,27262.182352941178,13989.164705882353,1189.999999999996,2379.999999999992,2,340,1,137360,137360
HydraBABWithHeuristic,0-350,29586.705714285716,16265.825714285715,1311.9999999999754,2623.999999999951,2,350,1,176992,176992
HydraBABWithHeuristic,0-360,28293.016666666666,15257.252777777778,1124.9999999999945,1124.9999999999945,1,360,1,187342,187342
HydraBABWithHeuristic,0-370,29649.156756756758,16457.27027027027,976.9999999999955,1953.999999999991,2,370,1,212731,212731
HydraBABWithHeuristic,0-380,30733.476315789474,16776.202631578948,1506.333333333317,4518.999999999951,3,380,1,223281,223281
HydraBABWithHeuristic,0-390,31023.30769230769,17867.453846153847,728.9999999999945,2186.9999999999836,3,390,1,256918,256918
HydraBABWithHeuristic,0-400,32176.77,18979.16,1277.7499999999905,5110.999999999962,4,400,1,271684,271684
HydraHeuristic,0-10,7169.6,0.0,0.0,0.0,0,10,1,9,9
HydraHeuristic,0-20,5913.749999999999,487.45,0.0,0.0,0,20,1,30,30
HydraHeuristic,0-30,5342.666666666667,532.7666666666667,0.0,0.0,0,30,1,68,68
HydraHeuristic,0-40,7955.5,770.6,0.0,0.0,0,40,1,117,117
HydraHeuristic,0-50,9315.82,1114.3,0.0,0.0,0,50,1,171,171
HydraHeuristic,0-60,9281.683333333332,1055.8666666666666,0.0,0.0,0,60,1,240,240
HydraHeuristic,0-70,9969.885714285714,1234.1571428571428,0.0,0.0,0,70,1,338,338
HydraHeuristic,0-80,10090.25,1365.35,0.0,0.0,0,80,1,417,417
HydraHeuristic,0-90,10880.133333333333,1509.5444444444445,0.0,0.0,0,90,1,524,524
HydraHeuristic,0-100,12187.28,2613.63,0.0,0.0,0,100,1,665,665
HydraHeuristic,0-110,13745.227272727272,3054.6545454545453,0.0,0.0,0,110,1,786,786
HydraHeuristic,0-120,13501.025,3220.7,0.0,0.0,0,120,1,868,868
HydraHeuristic,0-130,13627.438461538462,3317.7153846153847,0.0,0.0,0,130,1,1035,1035
HydraHeuristic,0-140,13791.942857142858,3795.692857142857,0.0,0.0,0,140,1,1172,1172
HydraHeuristic,0-150,14095.933333333332,4242.08,0.0,0.0,0,150,1,1354,1354
HydraHeuristic,0-160,14399.01875,4653.125,0.0,0.0,0,160,1,1531,1531
HydraHeuristic,0-170,15748.923529411764,5304.947058823529,0.0,0.0,0,170,1,1774,1774
HydraHeuristic,0-180,16535.433333333334,5916.916666666667,0.0,0.0,0,180,1,1928,1928
HydraHeuristic,0-190,16950.305263157894,6473.626315789474,0.0,0.0,0,190,1,2141,2141
HydraHeuristic,0-200,17110.775,6434.89,0.0,0.0,0,200,1,2300,2300
HydraHeuristic,0-210,18499.97619047619,6967.695238095238,0.0,0.0,0,210,1,2540,2540
HydraHeuristic,0-220,19645.636363636364,7924.422727272728,347.9999999999909,347.9999999999909,1,220,1,2773,2773
HydraHeuristic,0-230,21678.88260869565,8817.895652173913,1341.99999999999,2683.99999999998,2,230,1,3108,3108
HydraHeuristic,0-240,22615.4375,9243.05,1363.0000000000073,1363.0000000000073,1,240,1,3317,3317
HydraHeuristic,0-250,23205.256,9689.552,1341.9999999999895,2683.999999999979,2,250,1,3589,3589
HydraHeuristic,0-260,23148.184615384616,9951.957692307693,1320.9999999999618,1320.9999999999618,1,260,1,3934,3934
HydraHeuristic,0-270,23128.0,10124.066666666668,1363.0000000000064,1363.0000000000064,1,270,1,4127,4127
HydraHeuristic,0-280,24166.42142857143,10957.753571428571,978.9999999999935,2936.9999999999804,3,280,1,4524,4524
HydraHeuristic,0-290,24675.20344827586,11446.948275862069,1363.0000000000064,1363.0000000000064,1,290,1,4837,4837
HydraHeuristic,0-300,25213.11,11761.68,912.7499999999937,3650.999999999975,4,300,1,5198,5198
HydraHeuristic,0-310,25888.24193548387,12247.909677419355,1341.9999999999918,2683.9999999999836,2,310,1,5430,5430
HydraHeuristic,0-320,26256.965625,13040.18125,963.3333333333272,2889.999999999982,3,320,1,5894,5894
HydraHeuristic,0-330,27176.22121212121,13627.09090909091,2031.3333333333285,6093.999999999985,3,330,1,6259,6259
HydraHeuristic,0-340,27241.058823529413,14136.761764705883,1341.9999999999877,2683.9999999999754,2,340,1,6615,6615
HydraHeuristic,0-350,27863.777142857143,14767.411428571428,3791.6666666666456,11374.999999999936,3,350,1,7119,7119
HydraHeuristic,0-360,28615.925,15335.66111111111,3150.999999999986,12603.999999999944,4,360,1,7392,7392
HydraHeuristic,0-370,29951.67837837838,16529.27027027027,4035.499999999998,16141.999999999993,4,370,1,8011,8011
HydraHeuristic,0-380,30748.907894736843,17062.447368421053,4532.66666666667,27196.00000000002,6,380,1,8404,8404
HydraHeuristic,0-390,30920.579487179486,17722.44358974359,4475.714285714288,31330.000000000015,7,390,1,9068,9068
HydraHeuristic,0-400,31713.3875,18659.735,3751.099999999997,37510.99999999997,10,400,1,9514,9514
