Algorithm,Case_Range,Average_JCT_Seconds,Average_Queue_Delay_Seconds,Average_DDL_Violation_Duration_Seconds,Total_DDL_Violation_Duration_Seconds,DDL_Violated_Jobs_Count,Finished_Jobs_Count,Do_Schedule_Count,Average_Do_Schedule_Duration_ms,Max_Do_Schedule_Duration_ms
Chronus,0-10,3538.4,0.0,0.0,0.0,0,10,11,0,0
Chronus,0-20,7095.75,0.0,0.0,0.0,0,20,21,0,0
Chronus,0-30,21959.6,0.0,0.0,0.0,0,30,31,0,0
Chronus,0-40,30028.575000000004,0.0,0.0,0.0,0,40,41,0,4
Chronus,0-50,16866.359999999997,81.3,1987.6666666666654,5962.999999999996,3,50,51,0,1
Chronus,0-60,19056.949999999993,324.6666666666667,2594.999999999978,2594.999999999978,1,60,61,0,1
Chronus,0-70,24927.52857142857,830.5571428571428,9308.999999999975,18617.99999999995,2,70,70,0,1
Chronus,0-80,27130.599999999995,1338.175,20898.9999999998,62696.9999999994,3,80,80,0,2
Chronus,0-90,25609.22222222221,1476.8111111111111,3278.2499999999827,13112.99999999993,4,90,91,0,2
Chronus,0-100,23657.029999999995,1944.15,8263.499999999967,16526.999999999935,2,100,101,0,1
Chronus,0-110,24083.19090909091,2311.909090909091,1652.5000000000016,3305.000000000003,2,110,111,0,1
Chronus,0-120,24985.10833333333,2975.225,8263.49999999996,16526.99999999992,2,120,121,0,1
Chronus,0-130,23380.984615384612,3417.6846153846154,1306.3333333333235,3918.9999999999704,3,130,130,0,1
Chronus,0-140,22901.471428571433,3889.35,1290.666666666653,3871.999999999959,3,140,141,0,2
Chronus,0-150,23061.886666666665,4478.1,3598.3333333333308,10794.999999999993,3,150,151,0,2
Chronus,0-160,25159.737500000003,5411.86875,1186.3333333333192,3558.9999999999573,3,160,161,0,1
Chronus,0-170,23217.92352941177,5968.7764705882355,3677.5999999999854,18387.999999999927,5,170,170,0,3
Chronus,0-180,24377.611111111102,6330.8,22640.666666666148,67921.99999999844,3,180,180,0,1
Chronus,0-190,23456.152631578938,7046.4157894736845,17101.749999999553,68406.99999999821,4,190,189,0,1
Chronus,0-200,25215.41499999999,7121.81,11038.749999999738,88309.9999999979,8,200,200,0,1
Chronus,0-210,24141.48095238094,7613.871428571429,11244.874999999802,89958.99999999841,8,210,211,0,1
Chronus,0-220,25495.86363636363,8042.804545454545,15182.999999999645,106280.99999999751,7,220,221,0,1
Chronus,0-230,25113.178260869572,8731.321739130435,6619.374999999948,52954.999999999585,8,230,231,0,1
Chronus,0-240,25176.250000000004,9024.741666666667,6131.888888888861,55186.99999999975,9,240,239,0,2
Chronus,0-250,24532.372,9757.464,4113.624999999978,32908.999999999825,8,250,251,0,2
Chronus,0-260,25796.46923076924,10807.638461538461,5371.12499999999,42968.99999999992,8,260,260,0,4
Chronus,0-270,26595.466666666656,11346.933333333332,9087.899999999709,90878.99999999709,10,270,269,0,2
Chronus,0-280,28441.117857142857,12373.228571428572,4982.374999999984,39858.99999999987,8,280,279,0,1
Chronus,0-290,28309.720689655172,12976.496551724138,3960.8888888888655,35647.99999999979,9,290,289,0,1
Chronus,0-300,30079.81,13964.74,5120.749999999987,40965.9999999999,8,300,301,0,1
Chronus,0-310,33188.129032258046,14631.232258064516,18090.444444444063,162813.99999999657,9,310,308,0,1
Chronus,0-320,32435.13750000001,15467.1,6130.555555555507,55174.99999999956,9,320,320,0,1
Chronus,0-330,34391.181818181816,16832.127272727274,9605.727272727025,105662.99999999726,11,330,330,0,1
Chronus,0-340,36573.200000000004,18725.24411764706,4790.49999999999,38323.99999999992,8,340,341,0,1
Chronus,0-350,36886.020000000004,19535.66,3130.3333333333344,28173.00000000001,9,350,349,0,1
Chronus,0-360,37802.852777777785,20548.555555555555,4324.750000000018,34598.000000000146,8,360,360,0,1
Chronus,0-370,37063.54864864864,19992.424324324325,10659.44444444404,95934.99999999636,9,370,371,0,1
Chronus,0-380,36748.19210526315,19851.165789473685,6667.599999999798,100013.99999999696,15,380,380,0,1
Chronus,0-390,36943.14358974359,20427.776923076923,7214.42857142834,101001.99999999675,14,390,390,0,2
Chronus,0-400,38545.025,21600.34,7255.214285714076,101572.99999999706,14,400,401,0,1
Gavel,0-10,2907.1,0.0,0.0,0.0,0,10,11,0,1
Gavel,0-20,7372.0,0.0,0.0,0.0,0,20,21,0,0
Gavel,0-30,22163.999999999996,0.0,0.0,0.0,0,30,31,0,1
Gavel,0-40,30974.225,0.0,5338.000000000007,5338.000000000007,1,40,41,0,3
